setup,platform_schema,signal_name,scope,metric,physical_meaning,source_interface,unit,measurement_status,requested_interval_s,historical_source_status,analysis_missing_value_treatment
A,DDR4,System.18_PhysIPC,System,PhysIPC,Instructions retired per physical core cycle,Intel PCM CSV,instructions/cycle,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,System.19_PhysIPC%,System,PhysIPC%,Physical core IPC as a percentage of the processor maximum IPC,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,System.20_INSTnom,System,INSTnom,Total instruction execution rate normalized to nominal cycles,Intel PCM CSV,instructions/nominal cycle,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,System.21_INSTnom%,System,INSTnom%,Normalized instruction execution rate as a percentage of the processor maximum IPC,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,System Core C-States_C0res%,System core state aggregate,C0res%,Residency in processor power state C0 during the reporting interval,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,System Core C-States.1_C1res%,System core state aggregate,C1res%,Residency in processor power state C1 during the reporting interval,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,System Core C-States.2_C3res%,System core state aggregate,C3res%,Residency in processor power state C3 during the reporting interval,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,System Core C-States.3_C6res%,System core state aggregate,C6res%,Residency in processor power state C6 during the reporting interval,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,System Core C-States.4_C7res%,System core state aggregate,C7res%,Residency in processor power state C7 during the reporting interval,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,System Pack C-States_C0res%,System package state aggregate,C0res%,Residency in processor power state C0 during the reporting interval,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,System Pack C-States.1_C2res%,System package state aggregate,C2res%,Residency in processor power state C2 during the reporting interval,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,System Pack C-States.2_C3res%,System package state aggregate,C3res%,Residency in processor power state C3 during the reporting interval,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,System Pack C-States.3_C6res%,System package state aggregate,C6res%,Residency in processor power state C6 during the reporting interval,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,System Pack C-States.4_C7res%,System package state aggregate,C7res%,Residency in processor power state C7 during the reporting interval,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,System Pack C-States.5_C8res%,System package state aggregate,C8res%,Residency in processor power state C8 during the reporting interval,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,System Pack C-States.6_C9res%,System package state aggregate,C9res%,Residency in processor power state C9 during the reporting interval,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,System Pack C-States.7_C10res%,System package state aggregate,C10res%,Residency in processor power state C10 during the reporting interval,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,System.22_Proc Energy (Joules),System,Proc Energy (Joules),Processor package energy consumed during the reporting interval,Intel PCM CSV,J,counter delta from the processor energy interface,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,System.23_Power Plane 0 Energy (Joules),System,Power Plane 0 Energy (Joules),Power Plane 0 energy consumed during the reporting interval,Intel PCM CSV,J,counter delta from the processor energy interface,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,System.24_Power Plane 1 Energy (Joules),System,Power Plane 1 Energy (Joules),Power Plane 1 energy consumed during the reporting interval,Intel PCM CSV,J,counter delta from the processor energy interface,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Socket 0_EXEC,Socket 0,EXEC,Instructions retired per nominal CPU cycle,Intel PCM CSV,ratio,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Socket 0.1_IPC,Socket 0,IPC,Instructions retired per unhalted CPU cycle,Intel PCM CSV,instructions/cycle,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Socket 0.2_FREQ,Socket 0,FREQ,Unhalted clock ticks divided by invariant timer ticks,Intel PCM CSV,ratio to nominal frequency,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Socket 0.3_AFREQ,Socket 0,AFREQ,Unhalted clock ticks divided by invariant timer ticks while the core is in C0,Intel PCM CSV,ratio to nominal frequency,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Socket 0.4_CFREQ,Socket 0,CFREQ,Average active core frequency,Intel PCM CSV,GHz,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Socket 0.5_L3MISS,Socket 0,L3MISS,L3 read cache misses during the reporting interval,Intel PCM CSV,million misses,counter delta scaled by Intel PCM,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Socket 0.6_L2MISS,Socket 0,L2MISS,L2 read cache misses during the reporting interval; the PCM definition may include hits in another core's L2,Intel PCM CSV,million misses,counter delta scaled by Intel PCM,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Socket 0.7_L3HIT,Socket 0,L3HIT,L3 read cache hit ratio,Intel PCM CSV,fraction,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Socket 0.8_L2HIT,Socket 0,L2HIT,L2 read cache hit ratio,Intel PCM CSV,fraction,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Socket 0.9_L3MPI,Socket 0,L3MPI,L3 read cache misses per retired instruction,Intel PCM CSV,misses/instruction,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Socket 0.10_L2MPI,Socket 0,L2MPI,L2 read cache misses per retired instruction,Intel PCM CSV,misses/instruction,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Socket 0.11_READ,Socket 0,READ,Bytes read from the memory controller during the reporting interval,Intel PCM CSV,GB,counter delta scaled by Intel PCM,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Socket 0.12_WRITE,Socket 0,WRITE,Bytes written to the memory controller during the reporting interval,Intel PCM CSV,GB,counter delta scaled by Intel PCM,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Socket 0.13_IO,Socket 0,IO,Memory controller traffic attributed to I/O requests,Intel PCM CSV,GB,counter delta scaled by Intel PCM,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Socket 0.14_IA,Socket 0,IA,Memory controller traffic attributed to Intel architecture requests,Intel PCM CSV,GB,counter delta scaled by Intel PCM,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Socket 0.15_GT,Socket 0,GT,Memory controller traffic attributed to graphics requests,Intel PCM CSV,GB,counter delta scaled by Intel PCM,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Socket 0.16_TEMP,Socket 0,TEMP,Thermal headroom relative to TjMax; zero corresponds to the maximum junction temperature,Intel PCM CSV,degree Celsius below TjMax,processor thermal sensor reported by Intel PCM,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Socket 0.17_INST,Socket 0,INST,Retired instructions during the reporting interval,Intel PCM CSV,million instructions,counter delta scaled by Intel PCM,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Socket 0.18_ACYC,Socket 0,ACYC,Unhalted core cycles during the reporting interval,Intel PCM CSV,million cycles,counter delta scaled by Intel PCM,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Socket 0.19_TIME(ticks),Socket 0,TIME(ticks),Invariant timestamp counter ticks during the reporting interval,Intel PCM CSV,million ticks,counter delta scaled by Intel PCM,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Socket 0.20_PhysIPC,Socket 0,PhysIPC,Instructions retired per physical core cycle,Intel PCM CSV,instructions/cycle,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Socket 0.21_PhysIPC%,Socket 0,PhysIPC%,Physical core IPC as a percentage of the processor maximum IPC,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Socket 0.22_INSTnom,Socket 0,INSTnom,Total instruction execution rate normalized to nominal cycles,Intel PCM CSV,instructions/nominal cycle,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Socket 0.23_INSTnom%,Socket 0,INSTnom%,Normalized instruction execution rate as a percentage of the processor maximum IPC,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,SKT0 Core C-State_C0res%,Socket 0,C0res%,Residency in processor power state C0 during the reporting interval,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,SKT0 Core C-State.1_C1res%,Socket 0,C1res%,Residency in processor power state C1 during the reporting interval,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,SKT0 Core C-State.2_C3res%,Socket 0,C3res%,Residency in processor power state C3 during the reporting interval,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,SKT0 Core C-State.3_C6res%,Socket 0,C6res%,Residency in processor power state C6 during the reporting interval,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,SKT0 Core C-State.4_C7res%,Socket 0,C7res%,Residency in processor power state C7 during the reporting interval,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,SKT0 Package C-State_C0res%,Socket 0,C0res%,Residency in processor power state C0 during the reporting interval,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,SKT0 Package C-State.1_C2res%,Socket 0,C2res%,Residency in processor power state C2 during the reporting interval,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,SKT0 Package C-State.2_C3res%,Socket 0,C3res%,Residency in processor power state C3 during the reporting interval,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,SKT0 Package C-State.3_C6res%,Socket 0,C6res%,Residency in processor power state C6 during the reporting interval,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,SKT0 Package C-State.4_C7res%,Socket 0,C7res%,Residency in processor power state C7 during the reporting interval,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,SKT0 Package C-State.5_C8res%,Socket 0,C8res%,Residency in processor power state C8 during the reporting interval,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,SKT0 Package C-State.6_C9res%,Socket 0,C9res%,Residency in processor power state C9 during the reporting interval,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,SKT0 Package C-State.7_C10res%,Socket 0,C10res%,Residency in processor power state C10 during the reporting interval,Intel PCM CSV,%,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Proc Energy (Joules)_SKT0,Socket 0,Proc Energy (Joules),Processor package energy consumed during the reporting interval,Intel PCM CSV,J,counter delta from the processor energy interface,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Power Plane 0 Energy (Joules)_SKT0,Socket 0,Power Plane 0 Energy (Joules),Power Plane 0 energy consumed during the reporting interval,Intel PCM CSV,J,counter delta from the processor energy interface,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Power Plane 1 Energy (Joules)_SKT0,Socket 0,Power Plane 1 Energy (Joules),Power Plane 1 energy consumed during the reporting interval,Intel PCM CSV,J,counter delta from the processor energy interface,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Core0 (Socket 0)_EXEC,"Core 0, socket 0",EXEC,Instructions retired per nominal CPU cycle,Intel PCM CSV,ratio,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Core0 (Socket 0).1_IPC,"Core 0, socket 0",IPC,Instructions retired per unhalted CPU cycle,Intel PCM CSV,instructions/cycle,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Core0 (Socket 0).2_FREQ,"Core 0, socket 0",FREQ,Unhalted clock ticks divided by invariant timer ticks,Intel PCM CSV,ratio to nominal frequency,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Core0 (Socket 0).3_AFREQ,"Core 0, socket 0",AFREQ,Unhalted clock ticks divided by invariant timer ticks while the core is in C0,Intel PCM CSV,ratio to nominal frequency,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Core0 (Socket 0).4_CFREQ,"Core 0, socket 0",CFREQ,Average active core frequency,Intel PCM CSV,GHz,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Core0 (Socket 0).5_L3MISS,"Core 0, socket 0",L3MISS,L3 read cache misses during the reporting interval,Intel PCM CSV,million misses,counter delta scaled by Intel PCM,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Core0 (Socket 0).6_L2MISS,"Core 0, socket 0",L2MISS,L2 read cache misses during the reporting interval; the PCM definition may include hits in another core's L2,Intel PCM CSV,million misses,counter delta scaled by Intel PCM,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Core0 (Socket 0).7_L3HIT,"Core 0, socket 0",L3HIT,L3 read cache hit ratio,Intel PCM CSV,fraction,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
A,DDR4,Core0 (Socket 0).8_L2HIT,"Core 0, socket 0",L2HIT,L2 read cache hit ratio,Intel PCM CSV,fraction,derived from hardware counters,0.001 requested,Preserved Intel PCM field,"Drop rows where every numeric candidate is NaN; fill remaining NaN values with the feature's benign mean when available, otherwise the global feature mean; center by the same mean; exclude constant features."
